date,n,k,d,c,ccw,lambda,error_combined,dominance_case,color,weather_weight,atmospheric_weight
2024-05-20,3,2,4,0.2,0.2,0.5,0.139917,weather_dominates,blue,0.8,0.2
2024-05-20,3,2,4,0.3,0.3,0.5,0.142792,hybrid,purple,0.7,0.3
2024-05-20,3,2,4,0.4,0.4,0.5,0.145667,hybrid,purple,0.6,0.4
2024-05-20,3,2,4,0.5,0.5,0.5,0.148542,hybrid,purple,0.5,0.5
2024-05-20,3,2,4,0.6,0.6,0.5,0.151417,hybrid,purple,0.4,0.6
2024-05-20,3,2,4,0.7,0.7,0.5,0.154292,hybrid,purple,0.3,0.7
2024-05-20,3,2,4,0.8,0.8,0.5,0.157167,atmospheric_dominates,orange,0.2,0.8
2024-05-20,3,2,4,0.9,0.9,0.5,0.160042,atmospheric_dominates,orange,0.1,0.9
2024-05-20,3,2,4,1.0,1.0,0.5,0.162917,atmospheric_dominates,orange,0.0,1.0
2024-05-20,3,2,5,0.0,0.0,0.5,0.14,weather_dominates,blue,1.0,0.0
2024-05-20,3,2,5,0.1,0.1,0.5,0.143,weather_dominates,blue,0.9,0.1
2024-05-20,3,2,5,0.2,0.2,0.5,0.146,weather_dominates,blue,0.8,0.2
2024-05-20,3,2,5,0.3,0.3,0.5,0.149,hybrid,purple,0.7,0.3
2024-05-20,3,2,5,0.4,0.4,0.5,0.152,hybrid,purple,0.6,0.4
2024-05-20,3,2,5,0.5,0.5,0.5,0.155,hybrid,purple,0.5,0.5
2024-05-20,3,2,5,0.6,0.6,0.5,0.158,hybrid,purple,0.4,0.6
2024-05-20,3,2,5,0.7,0.7,0.5,0.161,hybrid,purple,0.3,0.7
2024-05-20,3,2,5,0.8,0.8,0.5,0.164,atmospheric_dominates,orange,0.2,0.8
2024-05-20,3,2,5,0.9,0.9,0.5,0.167,atmospheric_dominates,orange,0.1,0.9
2024-05-20,3,2,5,1.0,1.0,0.5,0.17,atmospheric_dominates,orange,0.0,1.0
2024-05-20,3,2,6,0.0,0.0,0.5,0.145833,weather_dominates,blue,1.0,0.0
